OrderID,Date,CustomerID,Product,Category,Quantity,Price,Region,SalesPerson
1,2024-01-01,C001,Tablet,Accessories,1,40000,East,Divya
2,2024-01-02,C002,Laptop,Electronics,1,55000,West,Anand
3,2024-01-03,C003,Headphones,Electronics,2,20000,West,Anand
4,2024-01-04,C004,Laptop,Electronics,1,10000,North,Rajesh
5,2024-01-05,C005,Charger,Electronics,4,50000,South,Keerthi
6,2024-01-06,C006,Mobile,Accessories,3,40000,North,Rajesh
7,2024-01-07,C007,Tablet,Electronics,1,10000,West,Rajesh
8,2024-01-08,C008,Headphones,Electronics,3,45000,East,Keerthi
9,2024-01-09,C009,Laptop,Accessories,5,5000,West,Divya
10,2024-01-10,C010,Mobile,Electronics,3,35000,East,Divya
11,2024-01-11,C011,Laptop,Electronics,2,50000,South,Keerthi
12,2024-01-12,C012,Tablet,Electronics,2,20000,South,Rajesh
13,2024-01-13,C013,Mobile,Accessories,3,30000,North,Keerthi
14,2024-01-14,C014,Headphones,Accessories,3,35000,East,Keerthi
15,2024-01-15,C015,Charger,Electronics,1,30000,East,Rajesh
16,2024-01-16,C016,Charger,Electronics,1,50000,North,Keerthi
17,2024-01-17,C017,Laptop,Electronics,4,15000,West,Keerthi
18,2024-01-18,C018,Laptop,Electronics,4,30000,East,Anand
19,2024-01-19,C019,Charger,Electronics,3,45000,West,Rajesh
20,2024-01-20,C020,Headphones,Electronics,2,40000,South,Divya
21,2024-01-21,C021,Headphones,Accessories,3,35000,South,Divya
22,2024-01-22,C022,Mobile,Electronics,3,10000,North,Anand
23,2024-01-23,C023,Headphones,Electronics,5,50000,North,Divya
24,2024-01-24,C024,Laptop,Electronics,5,5000,West,Divya
25,2024-01-25,C025,Laptop,Electronics,3,25000,South,Anand
26,2024-01-26,C026,Mobile,Accessories,3,25000,South,Divya
27,2024-01-27,C027,Charger,Accessories,2,35000,South,Divya
28,2024-01-28,C028,Tablet,Accessories,3,50000,North,Keerthi
29,2024-01-29,C029,Charger,Electronics,1,55000,West,Divya
30,2024-01-30,C030,Mobile,Electronics,5,40000,West,Anand
